"j","k","method","ISE_MC"
3,20,"LL",6.4035952062514e-05
3,20,"NW",0.00221767028594506
4,7,"LL",0.000544306714816417
4,7,"NW",0.00332245166001967
4,10,"LL",0.000444775880492387
4,10,"NW",0.00329284279409598
4,14,"LL",0.000181261777948761
4,14,"NW",0.00270406132047046
4,20,"LL",0.000146598701301523
4,20,"NW",0.00248183742995057
5,7,"LL",0.00139263378833484
5,7,"NW",0.0152516102156791
5,10,"LL",0.000949473167334853
5,10,"NW",0.00961963558700405
5,14,"LL",0.000542332528463036
5,14,"NW",0.0110352856506485
5,20,"LL",0.000340145574896502
5,20,"NW",0.0090782448726716
6,7,"LL",0.000467893239439962
6,7,"NW",0.00604246436043169
6,10,"LL",0.000407729555340815
6,10,"NW",0.00596184450162006
6,14,"LL",0.000229150996013221
6,14,"NW",0.00425983440535001
6,20,"LL",9.64105650926021e-05
6,20,"NW",0.0047197059275848
1,7,"LL",6.9700110496065e-05
1,7,"NW",0.000241874455135733
1,10,"LL",5.94347012163989e-05
1,10,"NW",0.000377272711192035
1,14,"LL",3.95585465262105e-05
1,14,"NW",0.000372885443139922
1,20,"LL",2.41568009139909e-05
1,20,"NW",0.000316196896689498
2,7,"LL",3.39768929195755e-05
2,7,"NW",0.00147321802474183
2,10,"LL",2.78494555008e-05
2,10,"NW",0.00151574196429069
2,14,"LL",2.168370711212e-05
2,14,"NW",0.00094433159612875
2,20,"LL",1.20360611450121e-05
2,20,"NW",0.000770666984896888
3,7,"LL",0.000253981629679164
3,7,"NW",0.00248110328766048
3,10,"LL",0.000194393608066166
3,10,"NW",0.00257092275997017
3,14,"LL",0.000116151436565727
3,14,"NW",0.00351652998676025
3,20,"LL",5.84039215268195e-05
3,20,"NW",0.00352433315636849
4,7,"LL",0.000529485824982499
4,7,"NW",0.00410503888919209
4,10,"LL",0.000378525522297092
4,10,"NW",0.00278077627759852
4,14,"LL",0.000234689702179179
4,14,"NW",0.00192006306764359
4,20,"LL",0.000175718604865942
4,20,"NW",0.00197281054574931
5,7,"LL",0.00152534605901577
5,7,"NW",0.01723896626262
5,10,"LL",0.000597124579623151
5,10,"NW",0.0169002087975119
5,14,"LL",0.000474589959902033
5,14,"NW",0.00728565517947271
5,20,"LL",0.000305642021397353
5,20,"NW",0.0085506394979994
6,7,"LL",0.000827668032119618
6,7,"NW",0.0118986053462486
6,10,"LL",0.000342824860344458
6,10,"NW",0.01255563410709
6,14,"LL",0.000109945452428316
6,14,"NW",0.00675124593343207
6,20,"LL",0.000100259961631914
6,20,"NW",0.00603911301724549
1,7,"LL",0.000149166165103181
1,7,"NW",0.000663931158418809
1,10,"LL",4.86203369099955e-05
1,10,"NW",0.000347484922624207
1,14,"LL",2.90770748446169e-05
1,14,"NW",0.000234843870242422
1,20,"LL",2.8401362086747e-05
1,20,"NW",0.000215056831063487
2,7,"LL",6.99183857441733e-05
2,7,"NW",0.000790651635143858
2,10,"LL",2.5293603320447e-05
2,10,"NW",0.00118237298852161
2,14,"LL",2.70980277791945e-05
2,14,"NW",0.000444255635920987
2,20,"LL",1.73004193783099e-05
2,20,"NW",0.000742299531781536
3,7,"LL",0.000355252504033884
3,7,"NW",0.00412630905203949
3,10,"LL",0.00013181346243775
3,10,"NW",0.00390888731422867
3,14,"LL",0.00010777338876588
3,14,"NW",0.00303894007001928
3,20,"LL",6.18152165823182e-05
3,20,"NW",0.00302690421957613
4,7,"LL",0.000608078069936381
4,7,"NW",0.00929072957453072
4,10,"LL",0.000377311169600621
4,10,"NW",0.00232976801324978
4,14,"LL",0.000182797758073153
4,14,"NW",0.00383488367082336
4,20,"LL",0.000149754665884093
4,20,"NW",0.00197667408279399
5,7,"LL",0.00150311375456141
5,7,"NW",0.00986762791576725
5,10,"LL",0.00127462890359278
5,10,"NW",0.0106066519958178
5,14,"LL",0.000520889570521636
5,14,"NW",0.00891459680246821
5,20,"LL",0.00027783059913826
5,20,"NW",0.0104032479319299
6,7,"LL",0.000358058218999677
6,7,"NW",0.0107702562470307
6,10,"LL",0.000334076036637859
6,10,"NW",0.00971873752691572
6,14,"LL",0.000186192548047275
6,14,"NW",0.00622317709595011
6,20,"LL",0.000123531847775819
6,20,"NW",0.0072502881031334
1,7,"LL",8.12443140848565e-05
1,7,"NW",0.000439192529706347
1,10,"LL",8.09947522668321e-05
1,10,"NW",0.000435160461310738
1,14,"LL",2.37339449675032e-05
1,14,"NW",0.000288138620256887
1,20,"LL",2.02851325321759e-05
1,20,"NW",0.000241407481081189
2,7,"LL",3.90100373612313e-05
2,7,"NW",0.00129187400354191
2,10,"LL",2.90013212755238e-05
2,10,"NW",0.000745322216512637
2,14,"LL",2.33209528837738e-05
2,14,"NW",0.000722907355627823
2,20,"LL",1.29664192874501e-05
2,20,"NW",0.000695406227474864
3,7,"LL",0.000258458998498281
3,7,"NW",0.00288533579704133
3,10,"LL",0.000140374153995866
3,10,"NW",0.00440724507872926
3,14,"LL",5.47315442074107e-05
3,14,"NW",0.00492438193705163
3,20,"LL",6.65583667637814e-05
3,20,"NW",0.00216335705254382
4,7,"LL",0.00066849893411289
4,7,"NW",0.00413815827303479
4,10,"LL",0.000310809461477203
4,10,"NW",0.00278263592420837
