"j","k","method","ISE_MC"
2,10,"NW",0.00181835083307854
2,14,"GM",0.00348494531605687
2,14,"LL",0.000388587783743063
2,14,"NW",0.00100213341885215
3,7,"GM",0.0033468396375853
3,7,"LL",0.000400773198456918
3,7,"NW",0.00203155364617639
3,10,"GM",0.00310506958091009
3,10,"LL",0.00022484997572029
3,10,"NW",0.00120876805882465
3,14,"GM",0.00215136316854818
3,14,"LL",0.000140551804190479
3,14,"NW",0.000618468481703931
1,7,"GM",0.00135789273124339
1,7,"LL",0.000283224022475529
1,7,"NW",0.000844760427118292
1,10,"GM",0.00116165988678815
1,10,"LL",0.000161995276636418
1,10,"NW",0.00056308586702436
1,14,"GM",0.000748224312820687
1,14,"LL",0.000101715157207419
1,14,"NW",0.000405361314737795
2,7,"GM",0.00508959975916612
2,7,"LL",0.000837457664951592
2,7,"NW",0.00314760553552534
2,10,"GM",0.00484716015265395
2,10,"LL",0.000643068434757305
2,10,"NW",0.0020571372499078
2,14,"GM",0.00353975816490043
2,14,"LL",0.000389892765510159
2,14,"NW",0.000995709773825461
3,7,"GM",0.00426566265116552
3,7,"LL",0.000413040101828337
3,7,"NW",0.00199716539589966
3,10,"GM",0.00273871844601009
3,10,"LL",0.000231839056322639
3,10,"NW",0.00129408986914189
3,14,"GM",0.00243228452282917
3,14,"LL",0.000137533285037843
3,14,"NW",0.00063545080258225
1,7,"GM",0.00163667781959514
1,7,"LL",0.000298806179892541
1,7,"NW",0.000892374458985127
1,10,"GM",0.00112597489761224
1,10,"LL",0.00016232061387446
1,10,"NW",0.000568454785070744
1,14,"GM",0.00075157830913378
1,14,"LL",0.000102843696154128
1,14,"NW",0.000378873884834732
2,7,"GM",0.00544350761436031
2,7,"LL",0.000865679538277256
2,7,"NW",0.00307395037529539
2,10,"GM",0.00472863219547098
2,10,"LL",0.000611949528848167
2,10,"NW",0.00192085935767875
2,14,"GM",0.00342071639711585
2,14,"LL",0.000394106219494931
2,14,"NW",0.00112505670549586
3,7,"GM",0.00359715031400089
3,7,"LL",0.000418821796439986
3,7,"NW",0.00177668243481367
3,10,"GM",0.00272312639057742
3,10,"LL",0.000230195397163284
3,10,"NW",0.00128973446212725
3,14,"GM",0.00225323821073996
3,14,"LL",0.000143058453435982
3,14,"NW",0.00065169346256295
1,7,"GM",0.00137519504029774
1,7,"LL",0.000278149968762067
1,7,"NW",0.000895303677117416
1,10,"GM",0.00101258833097972
1,10,"LL",0.000154582571563134
1,10,"NW",0.00060636065852836
1,14,"GM",0.00102202137508808
1,14,"LL",0.00011111355299229
1,14,"NW",0.000382113583360767
2,7,"GM",0.00768321805106359
2,7,"LL",0.000896154846000388
2,7,"NW",0.00307917284588901
2,10,"GM",0.00469688149205994
2,10,"LL",0.000569551667989252
2,10,"NW",0.00199917477648705
2,14,"GM",0.00358369827429202
2,14,"LL",0.000388963545244285
2,14,"NW",0.00119135920609727
3,7,"GM",0.00331695309833137
3,7,"LL",0.000397618343712836
3,7,"NW",0.00183706042959044
3,10,"GM",0.002736350193266
3,10,"LL",0.000239733456999043
3,10,"NW",0.00123448188716028
3,14,"GM",0.00226153758611151
3,14,"LL",0.000139448661259028
3,14,"NW",0.000701883126902318
1,7,"GM",0.00137784461014568
1,7,"LL",0.000276707672002506
1,7,"NW",0.000838377895253737
1,10,"GM",0.00102361256862273
1,10,"LL",0.000176542969161965
1,10,"NW",0.000565793445189737
1,14,"GM",0.000901653510133827
1,14,"LL",0.000109093723373057
1,14,"NW",0.000363070948148993
2,7,"GM",0.00615355642132894
2,7,"LL",0.00091555876917635
2,7,"NW",0.00283419297097102
2,10,"GM",0.00423487503935191
2,10,"LL",0.000633498201579183
2,10,"NW",0.00208638917818587
2,14,"GM",0.00415328317901434
2,14,"LL",0.000350764293133714
2,14,"NW",0.00112271869423566
3,7,"GM",0.00386335906316796
3,7,"LL",0.000369849552047821
3,7,"NW",0.00181742888157821
3,10,"GM",0.00294253969386166
3,10,"LL",0.000238838334877944
3,10,"NW",0.00127291006010993
3,14,"GM",0.00240189320006979
3,14,"LL",0.00015014905253876
3,14,"NW",0.000599840943596428
1,7,"GM",0.00131918550107588
1,7,"LL",0.000285676439055957
1,7,"NW",0.000913434916674893
1,10,"GM",0.00102853593159292
1,10,"LL",0.000176165344799063
1,10,"NW",0.000560513801572719
1,14,"GM",0.000830221504714733
1,14,"LL",0.000101887594822057
1,14,"NW",0.000411559950549125
2,7,"GM",0.00581964506852114
2,7,"LL",0.00085320357449591
2,7,"NW",0.00301764930613631
2,10,"GM",0.00491379800686554
2,10,"LL",0.000615924131688885
2,10,"NW",0.00202441060168736
2,14,"GM",0.0033984925216974
2,14,"LL",0.000383874121437131
2,14,"NW",0.000972264643338227
3,7,"GM",0.00399491430833144
3,7,"LL",0.000386413924396286
3,7,"NW",0.00201382074550065
3,10,"GM",0.00253362376997943
3,10,"LL",0.000223796824916963
3,10,"NW",0.0012294702342637
3,14,"GM",0.00217416323566968
3,14,"LL",0.000145846540162056
3,14,"NW",0.000696009160790613
1,7,"GM",0.0012339261103854
1,7,"LL",0.000283454861389064
1,7,"NW",0.000917328469877254
1,10,"GM",0.00102218985021772
1,10,"LL",0.000169026739258097
1,10,"NW",0.0005839216285004
1,14,"GM",0.000818627112193305
1,14,"LL",0.000101818864657865
1,14,"NW",0.000384043614101706
2,7,"GM",0.00585506536188402
2,7,"LL",0.00082977853751254
2,7,"NW",0.00289795056507801
2,10,"GM",0.0038272405598978
2,10,"LL",0.000638853197432895
2,10,"NW",0.00214360393183828
2,14,"GM",0.0038268879260266
2,14,"LL",0.000376142140730438
2,14,"NW",0.0010382804869235
3,7,"GM",0.00357159146755977
3,7,"LL",0.00037200403350472
3,7,"NW",0.00211483925567429
3,10,"GM",0.00289448581952284
3,10,"LL",0.000239792562417215
3,10,"NW",0.00117150807959362
3,14,"GM",0.00289394729986494
3,14,"LL",0.000140492567749204
3,14,"NW",0.000707953421708423
1,7,"GM",0.00135038630726981
1,7,"LL",0.000278626736615256
1,7,"NW",0.000863837021842059
1,10,"GM",0.00104759438387653
1,10,"LL",0.000177125992864487
1,10,"NW",0.000595521680379346
1,14,"GM",0.000735043543992661
1,14,"LL",0.000105014116223131
1,14,"NW",0.000375068507900794
2,7,"GM",0.00537932838357607
2,7,"LL",0.000767185845800147
2,7,"NW",0.00331565869176628
2,10,"GM",0.00436092754344339
2,10,"LL",0.000570984923400771
2,10,"NW",0.00218329774142649
2,14,"GM",0.00357362427331069
2,14,"LL",0.000389957583288958
2,14,"NW",0.0011085236951101
3,7,"GM",0.00358823291116424
3,7,"LL",0.000378704713477981
3,7,"NW",0.00175404667162843
3,10,"GM",0.00378678268330789
3,10,"LL",0.000225482396930945
3,10,"NW",0.00121151126764033
3,14,"GM",0.00234447128246751
3,14,"LL",0.000146702368860785
3,14,"NW",0.000712961596273328
1,7,"GM",0.00148458313777305
1,7,"LL",0.000292395303637818
1,7,"NW",0.000893457791417922
1,10,"GM",0.000947882165975268
1,10,"LL",0.000183844765645332
1,10,"NW",0.000559293913298077
1,14,"GM",0.000938099464018922
1,14,"LL",0.000108183956454764
1,14,"NW",0.000351118937048241
2,7,"GM",0.00512396135782395
2,7,"LL",0.00087132784550186
2,7,"NW",0.00312962327132666
2,10,"GM",0.00386560981747606
2,10,"LL",0.000614867163416876
2,10,"NW",0.0020245617319679
2,14,"GM",0.00402138016174161
2,14,"LL",0.000362472612315177
2,14,"NW",0.00104261261463943
3,7,"GM",0.00363749162949554
3,7,"LL",0.000412089122653459
3,7,"NW",0.00189989857225467
3,10,"GM",0.00346550120592311
3,10,"LL",0.000249104255514421
3,10,"NW",0.00114943433846282
3,14,"GM",0.00252247001183156
3,14,"LL",0.000150497515911094
3,14,"NW",0.000693265000265365
1,7,"GM",0.00142048100556815
1,7,"LL",0.000290082422867524
1,7,"NW",0.000869559939356136
1,10,"GM",0.00105254723361801
1,10,"LL",0.000162111103679268
1,10,"NW",0.000564254846987405
1,14,"GM",0.000954605217891582
1,14,"LL",0.000111362528517762
1,14,"NW",0.000385764821747319
2,7,"GM",0.00573854255191738
2,7,"LL",0.000863180133175
2,7,"NW",0.0031262868041339
2,10,"GM",0.00585275232192676
2,10,"LL",0.000613871149620377
2,10,"NW",0.00219076810573408
2,14,"GM",0.00399641922272233
2,14,"LL",0.000422348711825434
2,14,"NW",0.00107900071048931
3,7,"GM",0.00359815238322667
3,7,"LL",0.000365556040022943
3,7,"NW",0.00177048723167158
3,10,"GM",0.00267728838052967
3,10,"LL",0.000227833835644008
3,10,"NW",0.00126928207873776
3,14,"GM",0.00240120136038132
3,14,"LL",0.000160241780227275
3,14,"NW",0.000745346450278901
1,7,"GM",0.00135437135950788
1,7,"LL",0.000288756271279582
1,7,"NW",0.000914097955622908
1,10,"GM",0.00112733034470334
1,10,"LL",0.000155748552630253
1,10,"NW",0.000629956559963502
1,14,"GM",0.000781317430568415
1,14,"LL",9.84465604715857e-05
1,14,"NW",0.000428361862583182
2,7,"GM",0.00549793202286338
2,7,"LL",0.000829796458549747
2,7,"NW",0.00293806330341075
2,10,"GM",0.00441332359670248
2,10,"LL",0.000618078629637507
2,10,"NW",0.00210236769715426
2,14,"GM",0.00429856293773705
2,14,"LL",0.000349674497734243
2,14,"NW",0.00111149841494459
3,7,"GM",0.00361112400311664
3,7,"LL",0.000399937695399079
3,7,"NW",0.00185657305563984
3,10,"GM",0.0050850612911924
3,10,"LL",0.000221753884066034
3,10,"NW",0.00122534504979855
3,14,"GM",0.00231018841207135
3,14,"LL",0.000140295168091362
3,14,"NW",0.000693697282091995
1,7,"GM",0.00146623547606771
1,7,"LL",0.000296653974284533
1,7,"NW",0.000888855092001511
1,10,"GM",0.000926518640513219
1,10,"LL",0.000164156409089109
1,10,"NW",0.000616408245608438
1,14,"GM",0.000885198682903484
1,14,"LL",0.000106232748975167
1,14,"NW",0.000356705465829229
2,7,"GM",0.00544805783947524
2,7,"LL",0.00084928989409436
2,7,"NW",0.00329498104540066
2,10,"GM",0.00466605601573121
2,10,"LL",0.000577170603642531
2,10,"NW",0.00183385633819232
2,14,"GM",0.00536389156776042
2,14,"LL",0.000387106934373439
2,14,"NW",0.00110599025380306
3,7,"GM",0.00641481650342539
3,7,"LL",0.000387479910508113
3,7,"NW",0.00192858004956621
3,10,"GM",0.0031285307100857
3,10,"LL",0.000243110915858164
3,10,"NW",0.00125544704711353
3,14,"GM",0.00286556034499475
3,14,"LL",0.000149990387885778
3,14,"NW",0.00067252355214927
1,7,"GM",0.0013559323400695
1,7,"LL",0.000297921209065375
1,7,"NW",0.000851390977072025
1,10,"GM",0.000917566795908472
1,10,"LL",0.000161505762861357
1,10,"NW",0.000602714334047963
1,14,"GM",0.000943401401366919
1,14,"LL",0.00010606874978499
1,14,"NW",0.000371966760600967
2,7,"GM",0.00472877855613108
2,7,"LL",0.000811570518328586
2,7,"NW",0.00285749235450274
2,10,"GM",0.0042535953166133
2,10,"LL",0.000603377829368921
2,10,"NW",0.00216852218128646
2,14,"GM",0.00432506248004009
2,14,"LL",0.000398105482434751
2,14,"NW",0.00115536498197421
3,7,"GM",0.00431547110949614
3,7,"LL",0.000395986838076523
3,7,"NW",0.0018617627298203
3,10,"GM",0.00546627669941285
3,10,"LL",0.000244606524100221
3,10,"NW",0.00111388873709385
3,14,"GM",0.00225345177863189
